"23,649,873","4,783,274","5,119,630","351,602","33,904,379",-,"33,904,379"
"3,989,026","1,277,006","896,983","99,843","6,262,858",-,"6,262,858"
"27,638,899","6,060,280","6,016,613","451,445","40,167,237",-,"40,167,237"
-,-,-,"(47,015)","(47,015)",-,"(47,015)"
"280,822",-,"(24,822)",-,"256,000",-,"256,000"
"312,963","1,052","17,429",228,"331,672","(331,672)",-
"28,232,684","6,061,332","6,009,220","404,658","40,707,894","(331,672)","40,376,222"
"(9,939,872)","(1,199,915)","(1,571,588)","(62,910)","(12,774,285)",-,"(12,774,285)"
"(6,026,647)","(2,317,755)","(2,484,673)","(150,366)","(10,979,441)",-,"(10,979,441)"
"(31,672)",-,-,-,"(31,672)","31,672",-
"(931,450)","(111,640)","(91,001)","(3,430)","(1,137,521)",-,"(1,137,521)"
"(633,459)","(306,667)","(368,331)","(37,816)","(1,346,273)",-,"(1,346,273)"
"(5,742,897)","(1,291,305)","(484,013)","5,170","(7,513,045)",-,"(7,513,045)"
"(23,305,997)","(5,227,282)","(4,999,606)","(249,352)","(33,782,237)","31,672","(33,750,565)"
"4,926,687","834,050","1,009,614","155,306","6,925,657","(300,000)","6,625,657"
"(1,803,120)","(311,435)","(91,243)","(6,386)","(2,212,184)",-,"(2,212,184)"
"3,123,567","522,615","918,371","148,920","4,713,473","(300,000)","4,413,473"
"326,555,017","68,998,414","64,176,364","4,199,918","463,929,713","(7,086,996)","456,842,717"
"268,847,280","58,715,527","53,579,994","2,654,599","383,797,400","(1,507,667)","382,289,733"
