Standard/ Interpretation,Key Requirements,Effective date
"iFRS 15, ‘Revenue from contracts
with customers’","This standard deals with revenue recognition
and establishes principles for reporting useful
information to users of financial statements
about the nature, amount, timing and uncertainty
of revenue and cash flows arising from an entity’s
contracts with customers. Revenue is recognised
when a customer obtains control of a good or
service and thus has the ability to direct the
use and obtain the benefits from the good or
service. The standard replaces iAS 18 ‘Revenue’
and iAS 11 ‘Construction contracts’ and related
interpretations. The Group is assessing the impact
of iFRS 15.","Effective for accounting periods
beginning on or after 1 January 2018
with early adoption permitted."
"iFRS 11, ‘Joint arrangements’","This amendment adds new guidance on how to
account for the acquisition of an interest in a
joint operation that constitutes a business. The
amendments specify the appropriate accounting
treatment for such acquisitions.","Effective for annual periods beginning
on or after 1 January 2016."
"iAS 27, ‘Separate financial
statements’","These amendments allow entities to use the
equity method to account for investments in
subsidiaries, joint ventures and associates in their
separate financial statements.","Effective for annual periods beginning
on or after 1 January 2016."
"iFRS 10, ‘Consolidated financial
statements’ and iAS 28,
‘investments in associates and
joint ventures’","These amendments address an inconsistency
between the requirements in iFRS 10 and those
in iAS 28 in dealing with the sale or contribution
of assets between an investor and its associate
or joint venture. The main consequence of the
amendments is that a full gain or loss is recognised
when a transaction involves a business (whether
it is housed in a subsidiary or not). A partial gain
or loss is recognised when a transaction involves
assets that do not constitute a business, even
if these assets are housed in a subsidiary. None
of the amendments above are expected to have
a significant impact on the Group’s financial
statements.","Effective for annual periods beginning
on or after 1 January 2016"
