Standard/ Interpretation,Efective date
IFRS 15 Revenue from Contracts with Customers,1 January 2018.
IFRS 9 Financial Instruments,1 January 2018.
IFRS 9 Financial Instruments (2014),1 January 2018.
"IFRIC 22 Foreign Currency Transactions and
Advance Consideration",1 January 2018.
IFRS 16 Leases,1 January 2019.
"IAS 28 Long-term Interests in Associates and
Joint Ventures",1 January 2019.
"Sale or Contribution of Assets between
an Investor and its Associate or Company
(Amendments to IFRS 10 and IAS 28).",To be determined
