"Up to 1
month","1-3
months","3-12
months","1-5
years","Over 5
years","Non-interest
sensitive",Column
,,,,,,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,-,-,"36,992,122","36,992,122"
"13,486,150","29,258,549","35,980,749","83,024,976","26,526,910",-,"188,277,334"
"11,811,312","1,369,608","1,256,976",-,-,"5,015,236","19,453,132"
"46,270,218","188,543,670","1,007,842","1,365,865",-,"16,487,311","253,674,906"
-,-,-,-,-,"2,611,246","2,611,244"
"71,567,680","219,171,827","38,245,567","84,390,841","26,526,910","61,105,913","501,008,738"
"188,589,152","59,381,832","96,018,020","10,219,151",-,"33,354,316","387,562,471"
"20,714,650","4,737,461","1,209,918",-,-,"16,917","26,678,946"
-,"1,532,312","23,976,713",-,-,"3,501","25,512,526"
-,-,-,-,-,"3,786,278","3,786,278"
"34,707","57,872","301,286","3,909,400",592,-,"4,303,857"
"209,338,509","65,709,477","121,505,937","14,128,551",592,"37,161,012","447,846,078"
"(137,770,829)","153,462,350","(83,260,370)","70,262,290","26,526,318","23,944,901","53,164,660"
