Kenya,Tanzania,Uganda,Burundi,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"11,958,463","2,360,479","2,757,015","214,888","17,290,845"
"2,199,023","609,173","397,598","8,159","3,213,953"
"100,131","58,839","136,583","7,665","303,218"
"14,257,617","3,028,491","3,291,196","230,712","20,808,016"
"5,079,478","1,038,914","1,347,409","76,489","7,542,290"
"159,118","59,291","8,071",328,"226,808"
"5,238,596","1,098,205","1,355,480","76,817","7,769,098"
"9,019,021","1,930,286","1,935,716","153,895","13,038,918"
"1,214,171","524,912","554,688","24,318","2,318,089"
"806,657","327,459","224,844","2,772","1,361,732"
"79,943","5,981","8,456","2,650","97,030"
"2,100,771","858,352","787,988","29,740","3,776,851"
