GROUP,Column,BANK,Column
"Jun. 2016
Shs 000
Unaudited
7,402,105
1,084,338","Mar. 2016 Dec. 2015 Jun. 2015
Shs 000 Shs 000 Shs 000
Unaudited Audited Unaudited
7,202,441 4,914,257 2,355,268
810,235 6 39,360 335,157","Jun. 2016
Shs 000
Unaudited
5,324,914
737,712","Mar. 2016 Dec. 2015 Jun. 2015
Shs 000 Shs 000 Shs 000
Unaudited Audited Unaudited
4,033,289 3,656,066 1,497,243
515,878 386,496 192,031"
"6,317,767
3,988,172","6,392,206 4,274,897 2,020,111
3,546,780 2,820,579 1,815,097","4,587,202
3,266,463","3,517,411 3,269,570 1,305,212
2,309,311 2,061,470 1,305,212"
"2,329,594","2,845,426 1,454,318 205,014","1,320,739","1,208,100 1,208,100 -"
"2,329,594","2,845,426 1,454,318 205,014","1,320,739","1,208,100 1,208,100 -"
-,- - -,-,- - -
"4,582,197
1,195,568","4,236,817 3,545,443 3,172,604
1,150,391 1,193,080 913,605","3,919,749
1,074,238","3,537,644 3,059,775 2,785,478
1,030,094 988,122 820,563"
"5,777,765","5,387,208 4,738,523 4,086,209","4,993,987","4,567,738 4,047,897 3,606,041"
"24,832,832
26,754,761
-","24,064,083 26,673,020 23,762,121
34,843,025 17,944,105 35,197,288
- - -","21,129,916
25,384,740
-","20,912,243 22,523,991 19,780,618
33,157,793 16,489,302 32,003,178
- - -"
"51,587,594","58,907,108 44,617,125 58,959,408","46,514,656","54,070,036 39,013,293 51,783,796"
,,,"26,026,364 25,420,505 23,450,964
1,000,000 1,000,000 1,000,000"
,,"25,805,804",
,,"1,000,000",
,,"24,805,804","25,026,364 24,420,505 22,450,964"
,,"4,245,748","4,893,468 4,878,966 4,881,426
30,919,832 30,299,471 28,332,390"
,,"30,051,552",
,,"175,257,728","174,433,418 171,280,696 157,438,333
18.7% 20.1% 21.3%
8.0% 8.0% 8.0%
10.7% 12.1% 13.3%
14.9% 14.8% 14.9%
10.5% 10.5% 10.5%
4.4% 4.3% 4.4%
17.7% 17.7% 18.0%
14.5% 14.5% 14.5%
3.2% 3.2% 3.5%
41.9% 39.0% 31.7%
20.0% 20.0% 20.0%
21.9% 19.0% 11.7%"
,,17.1%,
,,8.0%,
,,9.1%,
,,14.7%,
,,10.5%,
,,4.2%,
,,17.1%,
,,14.5%,
,,2.6%,
,,47.8%,
,,20.0%,
,,27.8%,
