Column,GROUP,Column,Column,Column,BANK,Column,Column,Column
"STATEMENT OF COMPREHENSIVE
INCOME",Jun. 2014,Mar. 2014,Dec. 2013,Jun. 2013,Jun. 2014,Mar. 2014,Dec. 2013,Jun. 2013
,Shs 000,Shs 000,Shs 000,Shs 000,Shs 000,Shs 000,Shs 000,Shs 000
,Unaudited,Unaudited,Audited,Unaudited,Unaudited,Unaudited,Audited,Unaudited
,"8,265,639","4,120,982","14,154,675","6,578,067","5,711,252","2,854,136","9,962,725","4,629,490"
,"1,464,464","702,828","2,374,025","1,288,246","1,036,399","490,781","2,053,099","983,903"
,"121,337","71,843","650,361","147,508","54,051","41,904","95,780","64,703"
,-,-,-,-,"5,470","2,735","12,831","6,463"
,"9,851,440","4,895,653","17,179,061","8,013,821","6,807,172","3,389,556","12,124,435","5,684,559"
,"3,607,089","1,810,032","5,771,402","2,770,118","2,493,707","1,267,199","3,966,134","1,917,963"
,"82,172","23,917","258,368","104,716","60,239","14,730","165,569","60,890"
,"100,407","51,751","146,653","56,222","82,825","41,221","144,416","55,426"
,"3,789,668","1,885,700","6,176,423","2,931,056","2,636,771","1,323,150","4,276,119","2,034,279"
,"6,061,772","3,009,953","11,002,638","5,082,765","4,170,401","2,066,406","7,848,316","3,650,280"
,"386,030","177,555","756,818","380,613","229,576","107,213","466,439","228,055"
,"690,161","325,181","1,276,250","617,261","327,725","159,092","644,947","307,368"
,"677,201","374,717","1,223,278","668,515","396,542","211,579","796,330","435,062"
,-,-,"3,755",-,"36,816",-,"32,265","28,510"
,"91,029","64,707","117,653","38,832","28,875","17,813","53,383","25,197"
,"1,844,421","942,160","3,377,754","1,705,221","1,019,534","495,697","1,993,364","1,024,192"
,"7,906,193","3,952,113","14,380,392","6,787,986","5,189,935","2,562,103","9,841,680","4,674,472"
,"265,651","126,117","926,574","338,962","144,586","57,894","601,987","201,709"
,"1,376,766","714,239","2,820,117","1,298,383","768,901","410,837","1,576,750","795,177"
,"38,619","18,292","82,115","40,706","20,147","9,920","39,368","19,144"
,"218,863","101,869","453,121","234,340","110,526","48,943","255,361","128,096"
,"338,860","165,732","476,783","209,177","202,054","98,797","256,182","104,425"
,"101,263","48,619","137,888","56,080","72,872","35,039","111,915","43,660"
,"1,462,896","704,017","2,252,755","1,110,129","867,599","442,826","1,433,721","644,483"
,"3,802,918","1,878,885","7,149,353","3,287,777","2,186,685","1,104,256","4,275,284","1,936,694"
,"4,103,275","2,073,228","7,231,039","3,500,209","3,003,250","1,457,847","5,566,396","2,737,778"
,-,-,-,-,-,-,-,-
,"4,103,275","2,073,228","7,231,039","3,500,209","3,003,250","1,457,847","5,566,396","2,737,778"
,"1,982","1,202","3,964","1,507",-,-,-,-
,"4,105,257","2,074,430","7,235,003","3,501,716","3,003,250","1,457,847","5,566,396","2,737,778"
,"(1,231,577)","(698,700)","(2,462,210)","(1,166,096)","(900,975)","(510,246)","(1,949,583)","(923,543)"
,"67,011","(3,606)","457,961","331,924","74,310",-,"441,084","333,665"
,"2,940,691","1,372,124","5,230,754","2,667,544","2,176,585","947,601","4,057,897","2,147,900"
,"(105,310)","(108,192)","266,021","100,907",-,-,-,-
,-,-,"43,988","19,125",-,-,"43,988","19,125"
,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-
,"(105,310)","(108,192)","310,009","120,032",-,-,"43,988","19,125"
,"2,835,381","1,263,932","5,540,763","2,787,576","2,176,585","947,601","4,101,885","2,167,025"
,11.93,5.48,21.61,11.14,9.89,4.31,18.44,9.76
,-,-,2.10,-,-,-,2.10,-
