Column,Column,2014,2013,2014,2013
,,Shs’000,Shs’000,Shs’000,Shs’000
2014,2013,,,,
62.93%,62.93%,-,-,"961,361","961,361"
56.97%,56.97%,-,-,"818,144","818,144"
67.33%,67.33%,-,-,"484,611","484,611"
100%,100%,-,-,"2,000","2,000"
100%,100%,-,-,"29,137","29,137"
,,-,-,"2,295,253","2,295,253"
40%,40%,1,1,1,1
20%,20%,"6,079","6,079",-,-
,,"6,080","6,080","2,295,254","2,295,254"
