2016,2015,2016,2015
Shs’000,Shs’000,Shs’000,Shs’000
"33,812,876","25,825,179","24,803,939","18,033,177"
"(13,357,825)","(9,897,848)","(10,129,803)","(6,796,299)"
"20,455,051","15,927,331","14,674,136","11,236,878"
"3,091,066","2,773,883","1,682,036","1,417,709"
"1,745,734","1,763,096","1,266,222","1,060,551"
"159,742","160,950","115,718","120,188"
"25,451,593","20,625,260","17,738,112","13,835,326"
"(9,195,269)","(8,171,223)","(5,175,252)","(4,665,122)"
"(4,197,342)","(2,150,278)","(2,807,354)","(1,535,711)"
"12,058,982","10,303,759","9,755,506","7,634,493"
"6,488","(1,443)",-,-
"(1,069,774)","(737,124)","(879,123)","(579,686)"
"10,995,696","9,565,192","8,876,383","7,054,807"
"(3,267,556)","(2,965,386)","(2,724,478)","(2,261,956)"
"7,728,140","6,599,806","6,151,905","4,792,851"
"7,173,939","5,912,082","6,151,905","4,792,851"
"554,201","687,724",-,-
"7,728,140","6,599,806","6,151,905","4,792,851"
26.94,22.20,23.10,18.00
