2014,2013,2014,2013
Shs’000,Shs’000,Shs’000,Shs’000
"5,708,430","5,230,754","4,152,438","4,057,897"
"(227,790)","266,021",-,-
-,"43,988",-,"43,988"
"(227,790)","310,009",-,"43,988"
"5,480,640","5,540,763","4,152,438","4,101,885"
"4,948,681","4,902,007","4,152,438","4,101,885"
"531,959","638,756",-,-
"5,480,640","5,540,763","4,152,438","4,101,885"
