Stage 3,Stage 1&2,Column
Loss allowance,Loss allowance,Total
Shs’000,Shs’000,Shs’000
"2,289,262","267,133","2,556,395"
"(1,403,838)","(157,335)","(1,561,173)"
"885,424","109,798","995,222"
"(298,416)",-,"(298,416)"
"327,788",-,"327,788"
"914,796","109,798","1,024,594"
