"Share
capital","Share
premium","Other
reserves","Retained
earnings","Proposed
dividend",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,118,409","9,006,569","1,357,296","30,443,648","726,966","42,652,888"
-,-,-,"5,786,916",-,"5,786,916"
-,-,"(30,408)","30,408",` -,-
-,-,"1,520","(1,520)",-,-
-,-,"(28,888)","5,815,804",-,"5,786,916"
-,-,-,-,"(726,966)","(726,966)"
-,-,-,"(726,966)","726,966",-
-,-,-,"(726,966)",-,"(726,966)"
"1,118,409","9,006,569","1,328,408","35,532,486","726,966","47,712,838"
