In Shs,In US$,In GBP,In Shs,In US$,In GBP
10.53%,-,-,11.66%,-,-
-,3.36%,-,12.19%,2.65%,-
16.33%,8.11%,9.50%,16.46%,7.54%,6.90%
-,2.92%,-,-,2.85%,-
