USD,GBP,EURO,OTHERS,TOTAL
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,099,238","105,780","315,279",-,"1,520,297"
"7,474,112","229,534","389,571","296,611","8,389,828"
"30,036",-,-,-,"30,036"
"95,201,809","20,125","5,134,076",-,"100,356,010"
-,-,-,-,-
"103,805,195","355,439","5,838,926","296,611","110,296,171"
"52,765,267","4,332,988","5,256,791","276,768","62,631,814"
"20,331,404","167,718","4,973","9,062","20,513,157"
"158,003",19,119,"1,682","159,823"
"24,699,186",-,-,-,"24,699,186"
"222,456",-,-,-,"222,456"
"98,176,316","4,500,725","5,261,883","287,512","108,226,436"
"5,628,879","(4,145,286)","577,043","9,099","2,069,735"
"(7,406,926)","4,158,833","(455,295)","186,247","(3,517,141)"
"(1,778,047)","13,547","121,748","195,346","(1,447,406)"
,"494,399
5,657,027","6,068,747
3,424,389","235,606
562,721",
,"(5,162,628)","2,644,358","(327,115)",
,"5,101,349","(2,708,616)","281,749",
,"(61,279)","(64,258)","(45,366)",
