GRI Standard,Disclosure,Location,Page
"GRI 306:
Waste 2020",306-1 Waste generation and significant waste-related impacts,How we create value,29
,306-2 Management of significant waste-related impacts,How we create value,29
,306-3 Waste generated,How we create value,29
,306-4 Waste diverted from disposal,How we create value,29
,306-5 Waste directed to disposal,How we create value,29
"GRI 308:
Supplier
Environmental
Assessment
2016",308-1 New suppliers that were screened using environmental criteria,How we create value,29
"GRI 401:
Employment
2016",401-1 New employee hires and employee turnover,Human capital and culture,57
,"401-2 Benefits provided to full-time employees that are not
provided to temporary or part-time employees",Human capital and culture,57
,401-3 Parental leave,Human capital and culture,57
"GRI 403:
Occupational
Health and
Safety 2018",403-1 Occupational health and safety management system,Human capital and culture,57
,"403-2 Hazard identification, risk assessment and incident investigation",Human capital and culture,57
,403-3 Occupational health services,Human capital and culture,57
,"403-4 Worker participation, consultation, and communication on
occupational health and safety",Human capital and culture,57
,403-5 Worker training on occupational health and safety,Human capital and culture,57
,403-6 Promotion of worker health,Human capital and culture,57
,"403-7 Prevention and mitigation of occupational health and safety
impacts directly linked by business relationships",Human capital and culture,57
,"403-8 Workers covered by an occupational health and safety
management system",Human capital and culture,57
,403-9 Work-related injuries,Human capital and culture,57
,403-10Work-related ill health,Human capital and culture,57
"GRI 404:
Training and
Education 2016",404-1 Average hours of training per year per employee,Human capital and culture,57
,"404-2 Programs for upgrading employee skills and transition
assistance programs",Human capital and culture,57
,"404-3 Percentage of employees receiving regular performance and
career development reviews",Human capital and culture,57
"GRI 405:
Diversity and
Equal
Opportunity
2016",405-1 Diversity of governance bodies and employees,How we are led,77
,,Human capital and culture,57
"GRI 413:
Local Communi-
ties 2016","413-1 Operations with local community engagement, impact
assessments, and development programs",How we create value,29
"GRI 418:
Customer
Privacy 2016","418-1 Substantiated complaints concerning breaches of
customer privacy and losses of customer data",How we create value,29
