Column,"Total
branches",Kenya,Tanzania,Uganda
DTB 1.0 (2005),10,5,4,1
DTB 2.0 (2011),73,36,16,21
DTB 3.0 (2022),130,67,29,34
Currently: 2025,157,92,29,36
