FY23,FY22,FY 21,Change
63.5%,65.5%,67.0%,(200bps)
48.5%,58.2%,61.6%,970bps
13.0%,11.4%,12.3%,160bps
40.7%,44.2%,39.4%,(480bps)
16.1%,18.5%,19.6%,(240bps)
