Column,"34,886,335","7,786,370","10,189,049","449,779","53,311,533",-,Column
,"7,235,760","2,616,779","1,568,735","13,971","11,435,245",-,
Total income from external customers,"42,122,095","10,403,149","11,757,784","463,750","64,746,778",-,"64,746,778"
,-,-,-,"30,010","30,010",-,
,"264,594","(108,100)","(43,305)",-,"113,189",-,
,"11,874","1,729","60,347",938,"74,888","(74,888)",
Total income,"42,398,563","10,296,778","11,774,826","494,698","64,964,865","(74,888)","64,889,977"
,"(18,346,267)","(2,365,258)","(4,931,225)","(94,194)","(25,736,944)",-,
,"(9,680,531)","(4,120,703)","(4,208,137)","(233,327)","(18,242,698)",-,
,"(73,131)",(457),"(1,300)",-,"(74,888)","74,888",
,"(998,144)","(612,369)","(657,637)","(37,869)","(2,306,019)",-,
,"(7,768,646)","(1,581,359)","(273,149)","22,298","(9,600,856)",-,
Total expenses,"(36,866,719)","(8,680,146)","(10,071,448)","(343,092)","(55,961,405)","74,888","(55,886,517)"
,"5,531,844","1,616,632","1,703,378","151,606","9,003,460",-,
,"(534,356)","(499,639)","(138,387)","(36,106)","(1,208,488)",-,
Segment profit after tax,"4,997,488","1,116,993","1,564,991","115,500","7,794,972",-,"7,794,972"
