"88,882,099",Column,"81,089,566",Column,"4,943,757",Column,"174,915,422"
"76,180,581","58,715,527
6,753,801
3,529,086
10,282,887","68,756,618","53,579,994
7,118,961
3,477,410
10,596,370","3,151,035","2,654,599
1,292,968
252,351
1,545,319","148,088,234"
"8,342,358",,"8,285,645",,"1,499,970",,"18,127,973"
"4,359,160",,"4,047,304",,"292,752",,"8,699,215"
"12,701,518",,"12,332,948",,"1,792,722",,"26,827,188"
"88,882,099","68,998,414","81,089,566","64,176,364","4,943,757","4,199,918","174,915,422"
,"4,861,417",,"4,437,632",,"388,763",
"5,810,063",,"5,088,638",,"382,612",,"11,282,315"
"1,341,935","834,050
(311,435)","1,370,699","1,009,614
(91,243)","162,591","155,306
(6,386)","2,875,227"
"(478,771)",,"(124,054)",,"5,879",,"(596,946)"
"863,164","522,615","1,246,645","918,371","168,470","148,920","2,278,281"
"296,238","179,361
361,560
-","409,111","301,382
520,554
-","27,511","24,319
33,188
-","732,861"
"830,074",,"585,731",,"40,401",,"1,456,206"
-,,-,,-,,-
,"1,740,206
(278,099)
(526,143)",,"(5,181,058)
(277,074)
(420,675)",,"(523,887)
(21,753)
(681)",
"4,209,382",,"328,634",,"289,317",,
"(470,890)",,"(530,522)",,"(14,757)",,
"(401,100)",,"(443,963)",,"(37,540)",,
"3,337,392","935,964
8,049,143
358,360","(645,851)","(5,878,807)
12,534,831
875,146","237,020","(546,321)
187,407
(3,317)",
"9,844,006",,"6,476,679",,"210,611",,
"1,090,562",,"320,908",,"(608,517)",,
"14,271,960","9,343,467","6,151,736","7,531,170","(160,886)","(362,231)",
