Risk Type,Risk Statement,"Risk
Appetite",Risk Trigger
,,15%,12.5%
,,400%,300%
,,5%,2.5%
,,20%,15%
,,-150%,-125%
,,-300%,-200%
,,(10%)<1<10%,(7.5%)<1<7.5%
,,(20%)<1<20%,(15%)<1<15%
