In Shs,In US$,In GBP,In Shs,In US$,In GBP
11.57%,-,-,11.36%,-,-
-,-,-,-,3.71%,-
13.14%,7.67%,8.54%,17.29%,8.64%,9.72%
-,3.80%,-,-,2.96%,-
6.49%,2.02%,1.87%,7.71%,2.89%,3.14%
2.74%,2.79%,-,0.63%,0.96%,-
-,4.58%,-,-,4.75%,-
-,3.49%,-,-,3.40%,-
-,3.44%,-,-,2.57%,-
