Topic,Metric,2025,Location,Page,Sourc
"Financial Inclusion
& Capacity Building","Number of loans
outstanding that qualify
for programmes designed
to promote small
business and community
development",Not included.,-,-,"FN-CB
240a.1"
,"Amount of loans
outstanding that qualify
for programmes designed
to promote small
business and community
development",Not included.,-,-,
,"Number of past due
and nonaccrual loans
or loans subject to
forbearance that qualify
for programmes designed
to promote small
business and community
development",Not included.,-,-,"FN-CB
240a.2"
,"Amount of past due
and nonaccrual loans
or loans subject to
forbearance that qualify
for programmes designed
to promote small
business and community
development",Not included.,-,-,
,"Number of no-cost
retail checking accounts
provided to previously
unbanked or underbanked
customers",Not included.,-,-,"FN-CB
240a.3"
,"Number of participants
in financial literacy
initiatives for unbanked,
underbanked, or
underserved customers","For detailed disclosures, please refer to the ‘Our So-
cio-economic Relevance’ section of this report.","Our Socio-Economic
Relevance",56,"FN-CB
240a.4"
Business Ethics,"Total amount of monetary
losses as a result of legal
proceedings associated
with fraud, insider trading,
antitrust, anticompetitive
behaviour, market
manipulation, malpractice,
or other related financial
industry laws or
regulations",Fraud: KES 28 701 386.37,,247,"FN-CB
510a.2"
,"Description of
whistleblower policies and
procedures","For detailed disclosures, please refer to the ‘Guiding
Our Socio-economic Relevance’ section of this report.","Guiding our
Socio-economic
Value Creation",97,"FN-CB
510a.2"
