Column,Share capital,"Share
premium","Statutory credit
loss reserve","Other
reserves",Retained earnings,"Proposed
dividends",Total
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
,"1,118,409","9,006,569",-,"(6,973,995)","51,864,184","1,677,613",
,-,-,-,-,"5,310,487",-,
,-,-,-,"5,211,585",-,-,
,-,-,-,"(30,408)","30,408",-,
,-,-,-,"4,561","(4,561)",-,
,-,-,"5,805,096",-,"(5,805,096)",-,
Total comprehensive income,-,-,"5,805,096","5,185,738","(468,762)",-,"10,522,072"
,-,-,-,-,-,"(1,677,613)",
,-,-,-,-,"(1,957,216)","1,957,216",
"Total transactions with owners, recognised directly in equity",-,-,-,-,"(1,957,216)","279,603","(1,677,613)"
At end of year,"1,118,409","9,006,569","5,805,096","(1,788,257)","49,438,206","1,957,216","65,537,239"
