Name,No. of shares,% Shareholding
Aga Khan Fund for Economic Development,"46,130,236",16.50
Habib Bank Limited,"45,159,849",16.15
The Jubilee Insurance Company of Kenya Limited,"27,806,043",9.94
Standard Chartered Nominees A/C KE18965,"5,299,122",1.90
Standard Chartered Nominees A/C KE18972,"5,216,922",1.87
The Diamond Jubilee Investment Trust (U) Limited,"3,838,436",1.37
Standard Chartered Nominees A/C KE002382,"3,508,930",1.25
Aunali Fidahussein Rajabali And Sajjad Fidahusse Rajabali,"3,340,000",1.19
Standard Chartered Nominee Non Resd a/c KE11752,"2,774,499",0.99
CFC Stanbic Nominee Limited A/C NR1873738,"2,745,100",0.98
