"Mandatorily at
FVTPL","Designated at
FVTPL","Investment at
FVTOCI",Amortised cost,"Total
carrying
amount"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,"14,831,865","14,831,865"
-,-,-,"111,118,568","111,118,568"
-,-,-,"10,667,900","10,667,900"
-,-,-,"154,998,068","154,998,068"
-,-,"1,252,570",-,"1,252,570"
-,-,-,"884,987","884,987"
-,-,"1,252,570","292,501,388","293,753,958"
-,-,-,"207,984,496","207,984,496"
-,-,-,"27,063,578","27,063,578"
-,-,-,"1,828,808","1,828,808"
-,-,-,"18,521,027","18,521,027"
-,-,-,"2,593,221","2,593,221"
-,-,-,"257,991,130","257,991,130"
-,-,-,"18,238,378","18,238,378"
-,"615,493",-,"97,564,656","98,180,149"
-,-,-,"1,557,300","1,557,300"
-,-,-,"149,501,314","149,501,314"
-,-,"1,513,048",-,"1,513,048"
-,-,-,"870,886","870,886"
-,"615,493","1,513,048","267,732,534","269,861,075"
-,-,-,"199,489,226","199,489,226"
-,-,-,"21,549,148","21,549,148"
-,-,-,"1,534,720","1,534,720"
-,-,-,"9,741,233","9,741,233"
-,-,-,"2,576,389","2,576,389"
-,-,-,"234,890,716","234,890,716"
