"Share
capital","Share
premium","Statutory
loan loss
reserve","Other
reserves","Retained
earnings","Proposed
dividend","Attributable
to equity
holders of the
Bank","Non
controlling
Interests",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"1,118,409","9,006,569","890,768","(156,295)","42,070,633","726,966","53,657,050","5,282,199","58,939,249"
-,-,-,-,"(448,714)",-,"(448,714)","(43,903)","(492,617)"
"1,118,409","9,006,569","890,768","(156,295)","41,621,919","726,966","53,208,336","5,238,296","58,446,632"
-,-,-,-,"6,785,603",-,"6,785,603","482,989","7,268,592"
-,-,-,"(416,131)",-,-,"(416,131)","(18,488)","(434,619)"
-,-,-,"(33,019)","33,019",-,-,-,-
-,-,-,"2,303","(2,303)",-,-,-,-
-,-,"171,881",-,"(171,881)",-,-,-,-
-,-,-,"28,061","(28,061)",-,-,-,-
-,-,"171,881","(418,786)","6,616,377",-,"6,369,472","464,501","6,833,973"
-,-,-,-,-,"(726,966)","(726,966)","(38,294)","(765,260)"
-,-,-,-,"(754,926)","754,926",-,-,-
-,-,-,-,"(754,926)","27,960","(726,966)","(38,294)","(765,260)"
"1,118,409","9,006,569","1,062,649","(575,081)","47,483,370","754,926","58,850,842","5,664,503","64,515,345"
