"DTB KENYA
BANK",Column,Column,Industry- Q3 2022,Column,Column,"GROUP
GROUP",Column,Column
FY 21,Q3 21,Q3 22,TIER I,OVERALL,,FY 21,Q3 21,Q3 22
75.6%,72.8%,72.8%,77.3%,72.5%,Loans/Deposit,70.8%,67.3%,72.5%
40.4%,39.5%,39.8%,-,-,CASA ratio,47.8%,47.3%,47.1%
15.3%,13.6%,15.0%,11.2%,11.9%,NPA ratio,12.3%,11.4%,11.9%
37.4%,36.6%,41.2%,55.9%,55.7%,Specific prov. Coverage ratio,39.4%,37.8%,41.8%
24.2%,25.2%,28.4%,35.9%,34.4%,Fee Income Ratio,24.0%,24.5%,29.0%
39.5%,38.7%,38.6%,40.7%,44.0%,Cost to Income,46.9%,46.3%,45.2%
3.6%,1.6%,1.9%,1.9%,1.8%,Cost of Risk,3.4%,2.0%,2.2%
5.3%,9.6%,10.3%,22.8%,19.9%,Return on Equity,6.8%,9.9%,11.2%
0.9%,1.7%,1.8%,3.3%,2.9%,Return on Assets,1.0%,1.6%,1.7%
