New standard or amendments,"Effective for annual periods
beginning on or after"
Definition of a Business (Amendments to IFRS 3),1 January 2020
Definition of Material (Amendments IAS 1 and IAS 8),1 January 2020
"Interest rate benchmark reform (Amendments to IFRS 9, IAS 39 and IFRS 7)",1 January 2020
Revised Conceptual Framework for Financial Reporting,1 January 2020
