Name,Position
Linus Gitahi,"Chairman, Non-executive Director"
Shaffiq Dharamshi,"Vice Chairman , Non-executive Director"
Nasim Devji,Group CEO & Managing Director
Pamella Ager,Non-executive Director
Guedi Ainache,Non-executive Director
Moez Jamal,Non-executive Director
Alkarim Jiwa,Finance & Strategy Director
Irfan Keshavjee,Non-executive Director
Ismail Mawji,Non-executive Director
Sagheer Mufti,Non-executive Director
Jeremy Ngunze,Non-executive Director
Jamaludin Shamji,Non-executive Director
