GROUP,Column,BANK,Column
"Sep. 2014 Jun. 2014 Mar. 2014 Dec. 2013 Sep. 2013
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",,"Sep. 2014 Jun. 2014 Mar. 2014 Dec. 2013 Sep. 2013
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
Unaudited Unaudited Unaudited Audited Unaudited",
"1 2,621,132
2,307,435
206,544
-","8,265,639 4,120,982 14,154,675 10,201,924
1,464,464 702,828 2,374,025 2,002,986
121,337 71,843 650,361 188,113
- - - -","8,684,164
1,626,675
76,091
7,951","5,711,252 2,854,136 9,962,725 7,191,924
1,036,399 490,781 2,053,099 1,496,332
54,051 41,904 95,780 81,150
5,470 2,735 1 2,831 9 ,703
6,807,172 3,389,556 12,124,435 8,779,109
2,493,707 1,267,199 3,966,134 2,875,324
60,239 14,730 165,569 99,331
82,825 41,221 144,416 98,382
2,636,771 1,323,150 4,276,119 3,073,037
4,170,401 2,066,406 7,848,316 5,706,072
229,576 107,213 466,439 356,241
327,725 159,092 644,947 443,451
396,542 211,579 796,330 583,830
36,816 - 3 2,265 2 8,510
28,875 17,813 5 3,383 3 8,546
1,019,534 495,697 1,993,364 1,450,578
5,189,935 2,562,103 9,841,680 7,156,650
144,586 57,894 601,987 351,795
768,901 410,837 1,576,750 1,185,215
20,147 9,920 3 9,368 2 9,229
110,526 48,943 255,361 197,328
202,054 98,797 256,182 160,470
72,872 35,039 111,915 6 5,092
867,599 442,826 1,433,721 1,017,155
2,186,685 1,104,256 4,275,284 3,006,284
3,003,250 1,457,847 5,566,396 4,150,366
- - - -
3,003,250 1,457,847 5,566,396 4,150,366
- - - -
3,003,250 1,457,847 5,566,396 4,150,366
(900,975) (510,246) (1,949,583) (1,417,949)
74,310 - 441,084 333,665
2,176,585 947,601 4,057,897 3,066,082
- - - -
- - 4 3,988 4 3,990
- - - -
- - - -
- - - -
- - 4 3,988 4 3,990
2,176,585 947,601 4,101,885 3,110,072
9.60 4.18 17.89 13.52
- - 2.10 -"
"1 5,135,111","9,851,440 4,895,653 17,179,061 12,393,023","10,394,882",
"5,517,941
138,769
162,650","3,607,089 1,810,032 5,771,402 4,174,449
82,172 23,917 258,368 177,433
100,407 51,751 146,653 99,527","3,754,746
113,110
122,996",
"5,819,360","3,789,668 1,885,700 6,176,423 4,451,409","3,990,851",
"9,315,751","6,061,772 3,009,953 11,002,638 7,941,614","6,404,030",
"596,070
1,072,774
1,079,982
-
126,600","386,030 177,555 756,818 564,488
690,161 325,181 1,276,250 916,932
677,201 374,717 1,223,278 909,335
- - 3 ,755 -
91,029 64,707 117,653 8 5,379","363,439
489,635
656,353
36,816
50,492",
"2,875,426","1,844,421 942,160 3,377,754 2,476,134","1,596,735",
"1 2,191,177","7,906,193 3,952,113 14,380,392 10,417,748","8,000,766",
"593,089
2,101,627
64,347
340,180
527,638
153,610
2,171,671","265,651 126,117 926,574 570,338
1,376,766 714,239 2,820,117 1,957,608
38,619 18,292 8 2,115 5 9,651
218,863 101,869 453,121 366,085
338,860 165,732 476,783 317,341
101,263 48,619 137,888 8 0,805
1,462,896 704,017 2,252,755 1,740,813","343,406
1,174,038
32,360
168,773
323,389
108,906
1,238,757",
"5,952,162","3,802,918 1,878,885 7,149,353 5,092,641","3,389,629",
"6,239,015
-","4,103,275 2,073,228 7,231,039 5,325,107
- - - -","4,611,137
-",
"6,239,015
2,934","4,103,275 2,073,228 7,231,039 5,325,107
1,982 1,202 3 ,964 1 ,925","4,611,137
-",
"6,241,949
(2,028,931)
63,286","4,105,257 2,074,430 7,235,003 5,327,032
(1,231,577) (698,700) (2,462,210) (1,772,730)
67,011 (3,606) 457,961 328,734","4,611,137
( 1,494,830)
74,310",
"4,276,304","2,940,691 1,372,124 5,230,754 3,883,036","3,190,617",
"(66,338)
-
-
-
-","(105,310) (108,192) 266,021 219,095
- - 4 3,988 4 3,990
- - - -
- - - -
- - - -","-
-
-
-
-",
"(66,338)","(105,310) (108,192) 310,009 263,085",-,
"4,209,966","2,835,381 1,263,932 5,540,763 4,146,121","3,190,617",
"16.79
-","11.58 5.32 20.97 15.65
- - 2 .10 -","13.96
-",
