DTB Burundi,Dec-17,Dec-18,Dec-19,Dec-20,Jun-21
Customer Deposits,2.39%,2.24%,1.4%,1.5%,1.2%
Rank- Customer Deposits,-,-,-,10/10,10/10
Advances,1.59%,1.54%,2.8%,2.3%,1.9%
Rank- Advances,-,-,-,10/10,10/10
PBT,3.13%,3.05%,2.4%,1.8%,1.5%
Rank- PBT,-,-,-,9/10,9/10
