Accident year,2015,2016,2017,2018,2019,Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,,"3,331,386
3,596,270
3,722,709
3,835,316
-",,"3,579,480
3,911,785
-
-
-",,
,"4,329,329",,"3,472,018",,"5,234,167",
,"4,863,622",,"4,113,455",,-,
,"4,877,229",,"4,129,476",,-,
,"4,992,108",,-,,-,
,"5,136,958",,-,,-,
,"5,136,958","3,835,316
221,866
-
(3,589,214)","4,129,476","3,911,785
508,327
-
(3,216,198)","5,234,167",
,"231,460",,"321,615",,"1,748,179",
,"453,898",,-,,-,
,"(4,706,033)",,"(3,671,215)",,"(3,722,575)",
,"1,116,283","467,968","779,876","1,203,914","3,259,771",
