2022,2021,2022,2021
Shs’000,Shs’000,Shs’000,Shs’000
"2,952,054","1,011,461","(694,855)","(1,962,697)"
"182,039","185,331","35,867","36,879"
"166,535","173,958","33,211","48,290"
"481,723","427,898","26,467","26,389"
"(643,237)","206,410","(17,777)","139,896"
"35,013","96,430",,-
"(13,007,944)","(10,872,447)","(346,777)","(206,379)"
"3,908,001","(1,807,167)",257,"(1,318,424)"
"9,547",-,-,-
"(27,307)","11,726","4,351","(1,160)"
"(307,658)","(321,494)",-,-
"2,760","286,085","(38,254)","115,158"
"272,917","413,989","218,617","367,162"
"(13,563)","(14,368)","(11,500)",-
"40,863",-,-,-
(935),"(2,752)",(135),"4,457"
"(24,608)","(975,827)",-,-
"(185,288)","(406,490)",-,-
"6,697,839","299,007",-,-
"(1,259)","(35,806)",-,-
"(1,775,531)","(1,189,110)",-,-
"6,772,341","381,118",-,-
"39,953","197,248",-,-
"(6,962,115)","(20,318,047)",-,-
,,-,-
"2,836,504","10,159,214",-,-
"(16,112,256)","(719,174)",-,-
"1,088,949","3,220,116",-,-
"(134,937)","(1,019,288)",-,-
"111,890",-,-,-
"(201,344)","(182,661)",-,-
"297,993","266,520",-,-
"(2,219,680)","(2,217,208)",-,-
"2,103,128","2,086,109",-,-
,,-,-
"239,949","139,462",-,-
"13,090,369","10,867,728",-,-
