Material Topic,"Relevant GRI Topic
Standards",Related UN SDG(s),Related UNGC Principles
"Positive Impact to our People (Customer
& Employee Experiences)","GRI 401, 403, 404, 405,406,
409,416,417 418-1","SDG 3,4, 5, 8, 10 & 17","1,2,3,4,5,6,7, 8,9 & 10"
Healthier Lives & Well-being,"GRI 203-1, 203 -2, 203 & 413","SDG 3,4,8,10 & 17","1,6,7,8 9 & 10"
"Collaboration, Innovation & Technology",GRI 203,SDG 9 & 17,9
Safeguarding our Environment,"GRI 302, 303 and 306",SDG 13 & 17,"7,8 & 9"
Responsible Business,"GRI 201-2, 204, 205,206,
207,308 & 414","SDG 10,16 & 17","1,2,7,8 & 10"
