Asset Type (Shs ‘000),+10% Change on PD&LGD,-10% Change on PD&LGD
Cash and bank balances,-,-
Deposits with financial institutions,1,(1)
Government securities at amortized cost,3,(3)
Corporate bonds at amortised cost,"3,114","(3,114)"
Loans and receivables from related parties,"32,929","(32,929)"
Other receivables,"11,586","(11,586)"
Total,"47,633","(47,633)"
