Column,2010,2009,2008,2007,2006
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Profit/ (loss) before tax,"2,873,589","(334,334)","340,067","2,112,178","486,365"
Adjustments for:,,,,,
"Depreciation of leasehold improvements and
equipment (Note 15)","48,784","31,683","31,278","25,767","30,623"
Amortisation of intangible assets (Note 16),"20,640","18,930","15,127","14,925","13,505"
Investment income,"(4,684,634)","(196,169)","(509,137)","(2,492,568)","(1,604,874)"
Changes in:,,,,,
"Receivables arising out of direct insurance
arrangements","35,480","1,333","40,593","(108,179)","(62,066)"
"Receivables arising out of reinsurance
arrangements","44,009","(6,074)","(44,067)","(2,276)","13,419"
"Re-insurers’ share of technical provisions and
reserves","(187,937)","(72,666)","10,691","13,215","(63,348)"
Increase in technical provisions,-,-,-,"13,265","60,674"
Increase in unearned premium reserves,"148,372","178,865","181,009",-,
Retirement benefit liability,"(9,718)","11,726","36,646",-,
Other payables,"134,644","(6,023)","(28,297)","40,626","37,071"
Receivables from related parties,"30,364","15,736","(10,384)","(6,190)","( 34,592))"
Deferred acquisition costs,"(20,520)","(18,281)","(15,478)","(3,221)","(5,125)"
Other receivables,"(229,055)","36,609","2,386","(36,138)","(9,642)"
Increase in insurance contract liabilities,"1,395,682","456,901","250,419","605,088","1,140,669"
Actuarial liabilities under investment contract,"1,542,114","893,319","480,347","173,544","(11,599)"
"Payable under deposit administration
contracts","514,360","913,776","575,918","322,576","311,970"
"Creditors arising out of reinsurance
arrangements","42,677","14,896","(59,581)","(12,124)","18,369"
Cash generated from operations,"1,698,851","1,940,227","1,297,537","660,488","321,419"
