Excellent,Strong,Good,Column,"Improvement
Needed","Significant
Improvement
Needed"
"Chair Leadership,
Chair – GMD/CEO
Relationship","Culture, Ethics &
Values","Board Composition,
Chair/NED Succession",,"Board Induction,
Development &
Evaluation","CEO/Executive
Succession
Planning,
Performance
Assessment"
,"Oversight of GMD/
CEO & Executive
Team","Board Committee
Effectiveness",,"Board Focus Areas
• Operational
• Strategic",
,"Board Dynamics,
Challenge/Debate,
Trust Equation
Risk Management,
Internal Controls,
Cyber-security
Governance Code
Compliance & Overall
Governance
Employee
Engagement","Board Dynamics,
Challenge/Debate,
Trust Equation",,"Board Decision-
Making, Prioritisation",
,,"Risk Management,
Internal Controls,
Cyber-security",,"Board Packs,
Agenda, Minutes &
CoSec Support",
,,"Governance Code
Compliance & Overall
Governance",,"Shareholder
Engagement",
,,"Employee
Engagement",,"Stakeholder
Engagement",
,,,,ESG,
"Zia Manji,
Managing Director,
Career Connections",,,"Kieran Moynihan,
Managing Partner,
Board Excellence",,
