Board Member,Position,"Annual
Retainer
Shs","Sitting
Allowance
Shs","Other
Allowances
Shs","Salaries and
Other Benefits
Shs","Total
Shs"
,Chairman,"1,000,000","9,242,500","4,200,000",-,"14,442,500"
Dr. Peter K. Munga,NED,"1,000,000","2,225,000",-,-,"3,225,000"
,NED,"1,000,000","1,587,500",-,-,"2,587,500"
Ms. Judy Rugasira Kyanda,INED,"1,000,000","1,125,000",-,-,"2,125,000"
,NED,"1,000,000","2,787,500",-,-,"3,787,500"
Mr. Edouard Shcmid,NED,-,-,-,-,-
,INED,"1,000,000","3,787,500",-,-,"4,787,500"
Mrs. Celestine Munda,INED,"1,000,000","3,962,500",-,-,"4,962,500"
,ED,-,-,-,"101,828,126","101,828,126"
Mr. Lotfi Baccouche,INED,"1,000,000","3,187,500",-,-,"4,187,500"
,NED,"1,000,000","3,562,500",-,-,"4,562,500"
"Ms. Barbara Chesire
(Co-opted CXI
Committee Member )",NED,-,"287,500",-,-,"287,500"
Total,,"9,000,000","31,755,000","4,200,000","101,828,126","146,783,126"
