Asset Type (Shs ‘000),+10% Change on PD&LGD,-10% Change on PD&LGD
Cash and bank balances,-,-
Deposits with financial institutions,14,(14)
Government Securities at amortized cost,-30,30
Corporate bonds at amortised cost,"31,292","(31,292)"
"Loans and receivables from related
parties","8,438","(8,438)"
Other receivables,"11,550","(11,550)"
Total,"51,264","(51,264)"
