"erest income 8,607,499
erest expense (4,673,384)
her income 773,322
her expenses (3,341,784)",Column,"8,098,136",Column
,,"(4,486,182)",
,,"1,254,101",
,,"(3,112,537)",
"ofit or loss from continuing operations 1,365,653",,"1,753,518",
"ome tax expense (459,710)",,(,"556,549)"
"st-tax profit from continuing operations 905,943",,"1,","196,969"
"her comprehensive loss, net of tax (16,229)",,,"(13,433)"
"al comprehensive income 889,714",,"1,","183,536"
"idends received from associate 108,687",,,"277,403"
mmarised statement of financi,,,
al assets,"71,930,251","71,659,434",
al liabilities,"60,640,875","61,036,793",
,"11,289,376","10,622,641",
,"38,090,006","41,665,085",
,"54,469,605","53,021,022",
