Members,Status,"Attended/
Eligible to
attend",Percentage
,"Non-
Executive
Director",,50%
,"Non-
Executive
Director",,0%
,"Independent
Non-
Executive
Director",,100%
,"Executive
Director",,100%
,"Non-
Executive
Director",,75%
