Key audit matter,How our audit addressed the matter
Valuation of investment properties,
"The Group has a diverse portfolio of investment properties
and applies either the market approach or the income
approach depending on the property’s highest and best use
to determine the fair value.
As explained in Note 27 of the financial statements, the
Company uses external independent property valuers to
determine the fair values of investment properties at the year
end. This is an area of focus as the valuation models involve
significant estimates and assumptions of unobservable inputs
such as comparable market prices based on location of the
property, projected future cash flows, future rent escalations,
exit values and the discount rates.
The fair values of the investment properties are highly
sensitive to the changes in the underlying estimates and
assumptions.","Assessed management’s processes and controls over the
valuation of investment properties, including the oversight
from those charged with governance.
Evaluated the objectivity, independence and expertise of the
external independent valuation specialists.
Assessed the appropriateness of the valuation methodology
used and the applicable assumptions depending on the type
of property.
Agreed the carrying amounts and the related valuation gains/
losses of the investment properties in the financial statements
to the independent valuers’ reports.
Assessed the adequacy of the disclosures in the financial
statements."
Impairment assessment of the investment in associate,
"The Group has a significant investment in an associate in the
banking sector. In the current year the bank has continued
to face performance challenges and was impacted by the
prevailing market conditions.
Management applies significant estimates and assumptions
such as projected cash flows, discount rate and terminal
growth rate to determine the carrying value of the associate.
Changes in these assumptions could result in material
variations in the recoverable amount which makes this an
area of focus.
Details of disclosures of the investment in associate are on
the Note 24 of the financial statements.","Assessed management’s processes and controls for
determination of the carrying value of the associate, including
oversight from those charged with governance, including the
oversight from those charged with governance.
Assessed the consistency of the valuation method used.
Tested the reasonableness of the projected cash flows based
on the past performance of the investment.
Tested the reasonableness of the discount rate and terminal
growth rate used in the valuation to market observable data.
Tested the mathematical accuracy of the computations.
Evaluated the adequacy and consistency of disclosures in
the financial statements."
