2019,2018,2017,2016,2015
Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
"29,376,826","23,956,170","22,670,010","17,877,596","17,674,448"
"125,243,565","103,656,332","99,024,857","83,642,609","77,632,352"
"95,866,739","79,700,162","76,354,847","65,765,013","59,957,904"
