"Land and
Buildings","Leasehold
improvements","Motor
vehicles","Furniture,
fittings
& office
equipment","Computer
equipment",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"257,844","834,378","150,521","1,154,272","934,382","3,331,397"
,"60,266","13,464","40,265","14,539","128,534"
-,-,"(6,169)","(3,034)","(2,242)","(11,445)"
"299,026",-,-,-,-,"299,026"
-,"9,805",-,-,-,"9,805"
"77,459",-,-,-,-,"77,459"
"49,136","(10,560)","(28,960)","(3,133)","3,302","9,785"
"683,465","893,889","128,856","1,188,370","949,981","3,844,561"
"1,078","557,554","110,835","941,636","817,998","2,429,101"
"16,608","63,004","13,386","52,502","39,831","185,331"
-,-,"(6,081)","(1,165)","(1,174)","(8,420)"
(5),"1,612","(27,220)","3,658","4,097","(17,858)"
"17,681","622,170","90,920","996,631","860,752","2,588,154"
"665,784","271,719","37,936","191,739","89,229","1,256,407"
