Column,Gross claims development,Column,Column,Column,Column,Total
,2019,2020,2021,2022,2023,
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs'000
"Estimate of ultimate claim costs
(gross of reinsurance, undiscounted)
At end of accident year
1 year later
2 years later
3 years later
4 years later","16,003,586
17,040,246
17,616,095
17,669,200
17,812,016","18,497,346
20,141,308
20,063,146
20,194,743
-","27,332,828
29,702,878
29,625,183
-
-","27,356,884
28,966,122
-
-
-","29,335,695
-
-
-
-","118,526,339
95,850,554
67,304,424
37,863,943
17,812,016"
"Gross cumulative claims liabilities - accident
years from 2019 to 2023
Add: Incurred but not Reported
Gross cumulative claims liabilities - prior
accident years (OCR)
Gross cumulative claims liabilities - prior
accident years (IBNR & CHER)
Add: Liability in respect of prior years
Effect of discounting
Effect of the risk adjustment margin for non-
financial risk
Less: Cumulative payments to date","17,812,016
548,821
1,821,860
146,976
1,044,963
(466,748)
167,978
(17,066,393)","20,194,743
520,311
-
1,254
260,686
(177,088)
36,940
(19,478,574)","29,625,183
634,250
-
15,113
356,844
(377,500)
181,963
(27,250,840)","28,966,122
989,927
-
9,688
268,842
(480,161)
110,562
(27,430,775)","29,335,695
4,306,110
-
56,008
288,529
(980,440)
462,561
(25,721,072)","125,933,759
6,999,419
1,821,860
229,039
2,219,864
(2,481,937)
960,004
(116,947,654)"
Gross LIC for the contracts originated,"4,009,473","1,358,272","3,185,013","2,434,205","7,747,391","18,734,354"
