Column,Column,Column,"(33,550)","201,776",Column
,,,"917,419","2,568,470",
,,,"(1,101,879)","(824,235)",
,,,"39,261",(174),
,,,"(178,749)","1,945,837",
,,,"583,196","417,7",64
,,,"932,610","802,1",55
,,,"1,515,806","1,219,9",19
,,5 (i),"(1,694,555)","725,9",18
,,,"176,568","96,6",41
,,,"(1,517,987)","822,5",59
,,,"(22,011)","162,5",91
,or the year,,"(1,539,998)","985,1",50
,"hensive income/ (loss) items, net of tax:",,,,
,,,"(979,672)","(1,542,9",54)
,,,"(268,287)","(281,0",44)
,,,-,"287,8",00
,,,"(1,247,959)","(1,536,1",98)
,,,"(3,163)","(1,0",44)
ms that may be subsequently reclassified to profit or loss,,,"(3,163)","(1,0",44)
er comprehensive loss,,,"(1,251,122)","(1,537,2",42)
mprehensive loss for the year,,,"(2,791,120)","(552,0",92)
