Column,Year ended 31 December 2023,Column,Column,Column
(i) Life Risk,LRC,,"LIC
(Shs’000)","Total
(Shs’000)"
"Analysis by remaining coverage and incurred
claims - contracts not measured under PAA","Excluding loss
component
(Shs’000)","Loss
component
(Shs’000)",,
"Opening insurance contract assets
Opening insurance contract liabilities","-
13,745,677","-
223,975","-
1,184,727",-
,,,,"15,154,379"
Net Opening balance,"13,745,677","223,975","1,184,727","15,154,379"
"Changes that relate to current services
CSM recognized for services provided
Change in risk adjustment for non-financial
risk for risk expired
Experience adjustments not related to future
service","(606,809)
-
-
(606,809)","(52,317)
-
(52,317)
-","(722,246)
(722,246)
-
-","(1,381,372)"
,,,,"(722,246)"
,,,,"(52,317)"
,,,,"(606,809)"
"Changes that relate to future services
Contracts initially recognised in the year
Changes in estimates that adjust the CSM
Changes in estimates that relate to losses and
reversal of losses on onerous contracts","(745,615)
(842,850)
(169,917)
267,152","31,801
43,044
(33,221)
21,978","1,042,246
839,108
203,138
-","328,432"
,,,,"39,302"
,,,,-
,,,,"289,130"
Changes that relate to past services,"40,131","(16,991)",-,"33,258"
"Changes in estimates in LIC fulfilment cash flows
Experience adjustments in claims and other
insurance service expenses in LIC","73,384
(33,253)","1,826
(18,817)","-
-","33,258"
,,,,"(52,070)"
Total insurance service result,"(1,312,293)","(37,507)","320,000","(1,029,800)"
Insurance finance income or expense,,,,
"The effect of and changes in time of time value
of money and financial risk","367,966","7,450","182,195","557,611"
Total insurance finance income or expense,"367,966","7,450","182,195","557,611"
"Total changes in the statement of financial
performance","(944,327)","(30,057)","502,195","(472,189)"
"Premiums and premium tax received
Claims and other insurance service expenses
paid, including investment components
Insurance acquisition cash flows","4,627,167",-,-,"4,627,167"
,"(2,280,221)
(19,477)","-
-","-
-","(2,280,221)"
,,,,"(19,477)"
Total Cash flows,"2,327,469",-,-,"2,327,469"
,"5,941",635,-,"6,576"
Net Closing balance,"15,134,760","194,553","1,686,922","17,016,235"
