"Fair value
reserve",Column,"General
reserves"
Shs ‘000,,Shs ‘000
"3,661,863","31,144
32,755
-
-","35,517"
-,,-
"(731,999)",,-
-,,"177,926"
"2,929,864","63,899","213,443"
,"63,899
13,533
-
-",
"2,929,864",,"213,443"
-,,-
"2,755,565",,-
-,,"151,632"
"5,685,429","77,432","365,075"
