2022,2021
Shs’000,Shs’000
"(6,768,214)","(631,572)"
-,"(13,538)"
"(6,768,214)","(645,110)"
"(8,021)","(13,060)"
(183),-
"25,369",-
"10,030",-
"1,626",-
"4,084,099",-
"4,278,933","381,118"
-,"(3,565)"
"39,953","17,248"
"(113,082)","(1,019,288)"
"111,890",-
"(305,366)",-
"202,726","995,013"
"50,350","15,511"
"353,272","182,130"
"8,731,596","555,107"
"1,500,000",-
"(3,227,521)","(525,000)"
"(217,795)","(334,411)"
"(17,249)","(25,021)"
"(21,976)","(53,971)"
"(1,984,541)","(938,403)"
"(21,159)","(1,028,406)"
"192,619","1,221,025"
"171,460","192,619"
