Financial asset,Default event
Cash and deposits with financial institutions,"Contractual cash flows default
Debt restructure/Debt covenant breach
Bank closure
Bank Run
Filing of bankruptcy
Bank takeover by Regulator
Bank insolvency"
Corporate debt,"Contractual cash flows default
Debt covenant breach
Closure of institution
Filing of bankruptcy"
Financial assets,"Significant fall in tax collection rates
Significant natural disaster events
Default warning from Brenton Woods Institutions
Junk rating of sovereign debt
Debt restructure events"
"Receivables – related parties, other receivables includ-
ing outstanding dividends, advances to agents and
staff.","Contractual cash flows default
Filing of bankruptcy
Significant natural disaster events
Loss of source of income"
