"342,428",Column,Column,"860,048",Column,Column,"2,232,6",85
"70,424",,,"296,198",,,"434,6",24
-,,,"(81,476)",,,"(166,2",62)
"1,159",,,"(1,159)",,,,-
-,,,-,,,"330,4",90
-,,,-,,,"(15,6",59)
"414,011",,"112,867",,"1,073,611","613,360","2,815,8",78
,,"56,094
20,639
-
(13,014)",,,"212,897
98,860
-
(72,380)",,
"222,73",9,,,"448,746",,"940,4",76
"23,81",4,,,"153,043",,"296,3",56
71,9,,(719),,,,-
,-,,"(85,017)",,,"(170,4",11)
"247,27",2,"63,719","516,053",,"239,377","1,066,4",21
,,"49,148",,,"373,983",,
"166,73",9,,"557,558",,,"1,749,457",
