"40,308","81,395",‑,‑
"54,803",‑,‑,‑
"61,113","44,650",‑,‑
"239,844","196,830",‑,‑
"83,142","123,268","17,209","17,209"
"515,594","439,985",‑,‑
"27,683","27,757",‑,‑
"151,591","93,384",902,"3,925"
"173,839","181,712",‑,‑
"1,635,125","1,066,601","469,411","350,975"
"2,983,042","2,333,996","487,521","372,109"
"(194,924)","(188,486)","(16,098)","(32,964)"
"2,788,118","2,145,510","471,424","339,145"
"188,486","271,221","32,964","120,714"
"6,438","(16,860)","(16,866)",‑
‑,"(65,875)",‑,"(87,750)"
"194,924","188,486","16,098","32,964"
