2022,2021,2022,2021
Shs’000,Shs’000,Shs’000,Shs’000
"(975,266)","2,297,143",-,"1,254,261"
"533,539","306,134",-,"1,943"
"(3,367,011)","(968,171)",(257),-
"(3,808,738)","1,635,106",(257),"1,256,204"
"(99,263)","172,061",-,"68,672"
-,-,-,"(6,452)"
"(3,908,001)","1,807,167",(257),"1,318,424"
