Gross Amount,Column,Impairment,Column,Net Amount,Column
2021,2020,2021,2020,2021,2020
"180,000","180,000
80,000
500,000
391,711
868,795
3,783,482
461,539
308,598
531,729
50,000
124,863",-,"-
80,000
-
-
(179,572)
(672,221)
(2,081)
(55,189)
(218,194)
(50,000)
-","180,000",
-,,-,,-,
"500,000",,-,,"500,000",
"391,711",,-,,"391,711",
"689,223",,-,,"689,223",
"3,111,261",,-,,"3,111,261",
"459,458",,-,,"459,458",
"253,409",,-,,"253,409",
"313,535",,-,,"313,535",
-,,-,,-,
"124,863",,"(6,452)",,"118,411",
"6,023,460","7,280,717","(6,452)","(1,257,257)","6,017,008",
,"6,912,856",-,"-
-",-,
"7,192,693",,-,,"7,192,693",
"13,216,153","14,193,573","(6,452)","1,257,257","13,209,701",
