Mr. W. Andrew Hollas,Chairman,Mr. Mohamed S. Karama,Column
Dr. Benson I. Wairegi,Group Managing Director,Ms. Caroline J. Kigen,
Mr. Jimnah M. Mbaru,,Ms. Marianne Loner,
Dr. Peter K. Munga,,Mr. George Odo / Africinvest III SPV 1*,
Mr. Stephen O. Wandera,,Mr. Christopher Minter,
Mr. Mike Laiser,Retired on 15 May 2019,Ms. Josephine Ossiya,Appointed 15 May 2019
