"1,791,128"
"(288,994)"
"(25,207)"
"(415,597)"
"(84,366)"
"(814,164)"
"145,833"
"84,366"
"(148,894)"
‑
"72,752"
"154,057"
"(660,107)"
"524,391"
"(135,716)"
"300,420"
"(426,946)"
"(33,215)"
"(159,741)"
‑
"1,495,671"
