Kenya,Insurance,100%,100%,‑,‑
Kenya,Insurance,100%,100%,‑,‑
Kenya,"Fund
Management",100%,100%,‑,‑
Kenya,"Property
development",100%,100%,‑,‑
Uganda,Insurance,100%,100%,‑,‑
South Sudan,Insurance,100%,100%,‑,‑
Rwanda,Insurance,100%,100%,‑,‑
Mozambique,Insurance,98%,98%,2%,2%
Tanzania,Insurance,55%,55%,45%,45%
Malawi,Insurance,100%,100%,‑,‑
Uganda,"Fund
Management",100%,100%,‑,‑
Kenya,Innovation,100%,100%,‑,‑
Uganda,Insurance,100%,100%,‑,‑
Kenya,Insurance,0%,0%,‑,‑
Kenya,"Trust
Services",0%,0%,‑,‑
