KEY METRIC,GROUP,Column,Column,LIFE,Column,GI KENYA,Column,GI REGIONS,Column
,2023,2022,,2023,2022,2023,2022,2023,2022
OPEX RATIO (IFRS 4),32%,32%,,21%,21%,30%,30%,43%,47%
SOLVENCY – LIFE & GI (K),,,,111%,155%,158%,152%,275%,254%
RETURN ON EQUITY,"C
18%",,8%,17%,15%,34%,13%,24%,19%
