Maximum insured loss,Column,Column,Column,Column,Column,Column
Class of business,,Shs Millions,0 – 15,15 - 250,Over 250,Total
,,Shs’000,,Shs’000,Shs’000,Shs’000
"ecnarusnI
muS
derussa
-
ssenisub
efil
noN",,Gross,"135,983,856","399,351,602","4,439,588,368","4,974,923,826"
,,Net,"130,017,593","348,274,840","1,121,817,811","1,600,110,244"
"ssenisub
mret
efiL",Life Savings,Gross,"239,040,360","7,158,901",-,"246,199,261"
,,Net,"228,428,310","2,305,000",-,"230,733,310"
,Life risk,Gross,"296,913,329","39,408,556","215,732,929","552,054,814"
,,Net,"294,588,271","15,661,085","85,364,642","395,613,998"
,"Investments
with DPF",Gross,"2,936,961",-,-,"2,936,961"
,,Net,"2,824,361",-,-,"2,824,361"
Total,,Gross,"674,874,506","445,919,059","4,655,321,297","5,776,114,862"
,,Net,"655,858,535","366,240,925","1,207,182,453","2,229,281,913"
