Column,Agenda items,Accept,Reject,"Dissenting
Opinion"
,ORDINARY BUSINESS:,,,
3.,"To receive and, if approved, adopt the audited Consolidated Financial Statements
for the year ended 31 December 2021, together with the Chairman’s, the Directors’
and Auditor’s Reports thereon.",,,
4.,"To note that the Directors do not recommend the payment of a dividend for the
financial year ended 31 December 2021.",,,
5.,"Directors:
(i) Mr. Mohamed Karama retires at this meeting in accordance with Articles 91 &
92 of the Company’s Articles of Association and being eligible, does not offer
himself for re-election.",,,
,"(ii) Ms. Marianne Loner retires at this meeting in accordance with Articles 91 &
92 of the Company’s Articles of Association and being eligible, does not offer
herself for re-election.",,,
,"(iii) Mr. Kuria Muchiru who was appointed during the year retires in accordance
with Article 114 of the Company’s Articles of Association and being eligible,
offers himself for re-election.",,,
,"(iv) Mr. Edouard Schmid who was appointed during the year retires in accordance
with Article 114 of the Company’s Articles of Association and being eligible,
offers himself for re-election.",,,
6.,"In accordance to the provisions of Section 769 of the Companies Act 2015, the
following directors being members of the Board Audit & Risk Committee be elected
to continue to serve as members of the said committee: -",,,
,"(a) Ms. Caroline Kigen
(b) Ms. Josephine Ossiya",,,
7.,"Directors’ Remuneration: -
(a) To approve the Directors’ Remuneration Policy as shown in the audited
Financial Statements for the year ended 31 December 2021.",,,
,"(b) To approve the Directors’ Remuneration Report as shown in the audited
Financial Statements for the year ended 31 December 2021 and to authorize
the Board to fix the remuneration of the Directors",,,
8.,"To re-appoint PricewaterhouseCoopers (PwC) as auditors in accordance with
Section 721 (2) and 724 of the Companies Act, No.17 of 2015 and to authorize the
Directors to fix their remuneration for the ensuing financial year in accordance with
the provisions of Section 724 (1) of the Companies Act 2015.",,,
