Shs Millions,Jun- 2018,Jun-2017,"%
Change",Column
"Gross earned premiums & Fund
Management fees","12,920","11,688",11%,
Investment income,"3,662","2,772",,32%
"Net insurance claims, increase in policy
holder's benefits and loss adjustment
expenses & Interest payments/ increase
unit value","8,969","7,183",,25%
Operating expenses & finance costs,"4,843","4,489",,8%
Profit before tax,"1,366","1,282",7%,
