Bank loans,"153,980","136,382","153,980","136,382"
Interest on related party balance,-,-,"93,124","21,336"
Interest expense on lease liability (Note 24 (ii)),"129,612","110,753","13,731","10,450"
Total finance cost,"283,592","247,135","260,835","168,168"
