Liabilities from financing activities,Column,Column,Other assets,Column,Column
Borrowings,Leases,Sub-total,"Cash
equivalents","Liquid
investments",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"(2,352,716)","(844,046)
325,372
(62,055)
(109,274)","(3,196,762)","7,575,311
(77,311)
-
-","57,751,830",
"(2,502,207)",,"(2,176,835)",,"19,025,210",
-,,"(62,055)",,-,
-,,"(109,274)",,-,
"(4,854,923)","(690,003)","(5,544,926)","7,498,000","76,777,040",
"627,098","264,959
(58,091)
42,009","892,057","1,485","12,922,107",
-,,"(58,091)",,,
-,,"42,009",,,
"(4,227,825)","(441,126)","4,668,951)","7,499,485","89,699,147",
