Column,Column,Column,Column,Total Value for,Column,Column,Column,Column,Total Value for
,,,,shares sold,,,,,shares sold
No,Date,,Turnover,,No,Date,,Turnover,
,,VWAP,,Kshs,,,VWAP,,Kshs
